level,string,length,n_leave_node,n_ending,n
-1,"",0,108577,112317,838338
0,"了",1,10519,11086,21180
1,"了一",2,90,200,1697
2,"了一个",3,124,158,234
3,"了一个人",4,6,7,10
4,"了一个人了",5,4,4,4
3,"了一个月",4,3,4,5
4,"了一个月的",5,2,2,2
3,"了一个女",4,3,4,5
4,"了一个女人",5,2,2,2
3,"了一个大",4,5,5,5
3,"了一个丫头",5,4,4,4
3,"了一个来",4,3,3,3
3,"了一个老婆子",6,2,2,2
3,"了一个好",4,3,3,3
2,"了一回",3,171,185,222
3,"了一回儿才",5,2,2,2
2,"了一声",3,76,77,81
2,"了一会",3,36,40,75
3,"了一会子",4,25,28,31
4,"了一会子去了",6,2,2,2
2,"了一口",3,40,43,58
2,"了一夜",3,35,35,35
2,"了一件",3,17,20,26
3,"了一件事",4,4,4,4
3,"了一件大红",5,2,2,2
2,"了一杯",3,19,21,24
2,"了一点儿",4,7,8,9
3,"了一点儿东西",6,2,2,2
2,"了一点子",4,5,5,5
2,"了一碗",3,13,16,21
2,"了一块",3,17,19,21
2,"了一番",3,19,19,19
2,"了一日",3,18,18,18
2,"了一半",3,18,18,18
2,"了一天",3,12,13,15
2,"了一根毛",4,2,2,2
2,"了一位",3,10,10,10
2,"了一二分",4,2,2,2
2,"了一二年",4,2,2,2
2,"了一二十",4,2,2,2
2,"了一条",3,8,8,8
2,"了一地",3,8,8,8
2,"了一副",3,8,8,8
2,"了一步儿",4,2,2,2
2,"了一年",3,7,7,7
2,"了一辈子",4,3,4,5
3,"了一辈子的",5,2,2,2
2,"了一篇话",4,2,2,2
2,"了一封书子",5,2,2,2
1,"了这",2,64,89,469
2,"了这个",3,47,55,66
2,"了这里",3,24,25,29
2,"了这一",3,12,17,27
3,"了这一句",4,5,5,5
3,"了这一日",4,3,3,3
3,"了这一件",4,3,3,3
2,"了这么大",4,11,11,11
2,"了这么一个",5,2,2,2
2,"了这样",3,11,14,20
2,"了这半日",4,12,13,14
2,"了这句话",4,7,7,7
2,"了这件事",4,4,4,4
2,"了这园子",4,4,4,4
2,"了这门亲",4,2,2,2
1,"了他",2,160,187,406
2,"了他们",3,33,42,54
3,"了他们家的",5,2,2,2
3,"了他们两个",5,2,2,2
2,"了他的",3,23,26,34
3,"了他的心",4,5,5,5
2,"了他来",3,26,26,26
2,"了他一",3,10,15,23
3,"了他一会子",5,2,2,2
3,"了他一个",4,3,3,3
2,"了他去",3,17,18,20
2,"了他两个",4,9,10,11
2,"了他母亲",4,3,3,3
2,"了他就是了",5,2,2,2
1,"了几",2,36,71,302
2,"了几个",3,30,37,48
3,"了几个小厮",5,2,2,2
2,"了几日",3,21,21,21
2,"了几天",3,19,19,19
2,"了几杯",3,9,11,13
2,"了几年",3,9,9,9
2,"了几样",3,7,7,7
2,"了几声",3,7,7,7
2,"了几下",3,7,7,7
2,"了几次",3,6,6,6
2,"了几口",3,6,6,6
2,"了几分",3,4,5,6
3,"了几分酒",4,2,2,2
2,"了几两银子",5,4,4,4
2,"了几万银子",5,2,2,2
1,"了两",2,29,62,258
2,"了两个",3,16,28,49
3,"了两个小丫",5,1,2,3
4,"了两个小丫头",6,2,2,2
3,"了两个月",4,3,3,3
2,"了两三",3,8,13,22
3,"了两三天",4,5,5,5
3,"了两三个",4,3,3,3
2,"了两声",3,16,16,16
2,"了两天",3,11,11,11
2,"了两遍",3,8,8,8
2,"了两碗菜",4,2,2,2
2,"了两下",3,4,4,4
1,"了我",2,77,92,221
2,"了我们",3,19,25,39
3,"了我们的",4,7,7,7
3,"了我们家的",5,2,2,2
2,"了我的",3,27,29,33
2,"了我来",3,7,7,7
2,"了我了",3,6,6,6
2,"了我好几",4,2,2,2
1,"了半日",3,68,72,78
2,"了半日才说道",6,2,2,2
1,"了半天",3,43,44,45
1,"了半截",3,8,8,8
1,"了半盏茶",4,2,2,2
1,"了半夜",3,7,7,7
1,"了出来",3,150,150,150
1,"了来",2,125,142,194
2,"了来了",3,10,10,10
1,"了不",2,25,33,194
2,"了不得",3,62,64,80
3,"了不得了",4,16,16,16
2,"了不成",3,42,42,42
2,"了不是",3,16,17,18
2,"了不曾",3,13,13,13
2,"了不好",3,6,6,6
1,"了你",2,76,93,161
2,"了你们",3,10,14,20
3,"了你们的",4,4,4,4
2,"了你这",3,6,7,8
3,"了你这么",4,2,2,2
2,"了你妹妹",4,3,3,3
1,"了去",2,103,112,157
2,"了去罢",3,10,10,10
1,"了些",2,104,118,157
2,"了些花草来",5,2,2,2
1,"了好",2,38,47,150
2,"了好些",3,46,55,69
3,"了好些时",4,5,5,5
3,"了好些话",4,3,3,3
3,"了好些银子",5,2,2,2
2,"了好一回",4,4,4,4
2,"了好一会",4,2,2,2
2,"了好人家",4,2,2,2
2,"了好半天",4,2,2,2
1,"了宝玉",3,73,83,105
2,"了宝玉的",4,4,5,7
3,"了宝玉的手",5,3,3,3
2,"了宝玉去",4,4,4,4
2,"了宝玉出去",5,2,2,2
1,"了宝钗",3,12,15,20
2,"了宝钗来",4,3,3,3
1,"了个",2,80,101,140
2,"了个头",3,8,8,8
2,"了个好儿",4,2,2,2
2,"了个粉碎",4,3,3,3
